industry1,industry2,value
Crude oil and gas mining,Insurance activities,17.91333917
Crude oil and gas mining,Auxiliary financial activities,10.63644448
Crude oil and gas mining,Real estate activities,18.37700644
Crude oil and gas mining,Housing services,0
Crude oil and gas mining,Legal and accounting services,3.962849849
Crude oil and gas mining,Architectural and engineering services,343.6487387
Crude oil and gas mining,Other professional activities,65.50717618
Crude oil and gas mining,Rental and leasing activities,10.93416227
Crude oil and gas mining,Business support activities,30.62988459
Crude oil and gas mining,Public administration,44.16953558
Crude oil and gas mining,Public education,0.539990953
Crude oil and gas mining,Private education,1.815690084
Crude oil and gas mining,Public health activities,9.44065814
Crude oil and gas mining,Private health activities,1.329934546
Crude oil and gas mining,Activities of organizations,1.24449552
Crude oil and gas mining,Artistic and entertainment activities,5.623109191
Crude oil and gas mining,Other personal services,3.306319241
Copper mining,Cultivation of annual crops,7138.212779
Copper mining,Cultivation of vegetables,4615.289162
Copper mining,Cultivation of grapes,10581.6281
Copper mining,Cultivation of other fruits,13408.25893
Copper mining,Cattle bredding,1130.761857
Copper mining,Pigs breeding,123.4730305
Copper mining,Chicken breeding,259.0422264
Copper mining,Breeding of other animals,117.6188634
Copper mining,Farming services,1632.144914
Copper mining,Forestry,762.7122069
Copper mining,Aquaculture,4522.750631
Copper mining,Extractive fishing,119.5368925
Copper mining,Coal mining,6.932934997
Copper mining,Crude oil and gas mining,209.2287421
Copper mining,Copper mining,1452437.612
Copper mining,Iron mining,20552.75517
Copper mining,Mining of other metals,2668.23111
Copper mining,Other mining activities and mining services,1646.440011
Copper mining,Processing and preserving of meat,7772.972849
Copper mining,Processing and preserving of fishmeal and fish oil,303.8844719
Copper mining,Processing and preserving of fish,3877.738131
Copper mining,Processing and preserving of fruits and vegetables,4020.071953
Copper mining,Manufacture of vegetable and animal oils,410.2090088
Copper mining,Manufacture of dairy products,2739.135686
Copper mining,Manufacture of grain mill products,1619.486104
Copper mining,Manufacture of prepared animal feeds,4954.287023
Copper mining,Manufacture of bakery products,2682.346716
Copper mining,Manufacture of macaroni noodles and other related products,39.55649704
Copper mining,Manufacture of other food products,5501.790725
Copper mining,Distilling rectifying and blending of spirits,692.2587269
Copper mining,Manufacture of wines,4933.128042
Copper mining,Manufacture of beers,2278.921812
Copper mining,Manufacture of soft drinks,5267.628591
Copper mining,Manufacture of tobacco products,600.27254
Copper mining,Manufacture of textile products,3617.886023
Copper mining,Manufacture of wearing apparel,2266.92843
Copper mining,Manufacture of leather products,1271.32188
Copper mining,Manufacture of footwear,960.5245159
Copper mining,Sawmilling and planing of wood,3122.767141
Copper mining,Manufacture of wood products,11588.01042
Copper mining,Manufacture of pulp and paper,19529.47558
Copper mining,Manufacture of containers of paper,6071.460882
Copper mining,Manufacture of other paper products,2862.01538
Copper mining,Printing,1684.900986
Copper mining,Manufacture of refined petroleum products,2093.029424
Copper mining,Manufacture of basic chemicals,98343.25371
Copper mining,Manufacture of paints,1973.554466
Copper mining,Manufacture of pharmaceutical products,8718.391556
Copper mining,Manufacture of soap detergents and toilet products,4914.979348
Copper mining,Manufacture of other chemical products,20982.78438
Copper mining,Manufacture of rubber products,3960.864564
Copper mining,Manufacture of plastic products,24577.40504
Copper mining,Manufacture of glass and glass products,2879.555981
Copper mining,Manufacture of cement,19767.5584
Copper mining,Manufacture of concrete and concrete products,37407.28463
Copper mining,Manufacture of basic iron and steel,2539.820455
Copper mining,Manufacture of other basic metals,194499.7123
Copper mining,Manufacture of fabricated metal products,8842.886989
Copper mining,Manufacture of industrial and domestic machinery and equipment,4941.147035
Copper mining,Manufacture of electric and electronic machinery and equipment,10463.49514
Copper mining,Manufacture of transport equipment,1446.159174
Copper mining,Manufacture of furniture,1557.026478
Copper mining,Repair and installation of machinery and other manufacturing,3153.607899
Copper mining,Electric power generation,3114.052033
Copper mining,Transmission of electric power,114.3027962
Copper mining,Distribution of electric power,611.6790713
Copper mining,Gas and steam manufacture and supply,4909.346736
Copper mining,Water collection treatment and supply,2639.051118
Copper mining,Waste collection and recycling activities,1234.587497
Copper mining,Construction of residential buildings,6011.439101
Copper mining,Construction of non-residential buildings,3027.877546
Copper mining,Civil engineering,13300.40045
Copper mining,Specialized construction activities,2985.773223
Copper mining,Wholesale and retail trade of motor vehicles,4163.126065
Copper mining,Wholesale trade,27893.50976
Copper mining,Retail trade,20273.50734
Copper mining,Accommodation,452.4969781
Copper mining,Food and beverage service activities,1872.32575
Copper mining,Transport via railways,385.7608946
Copper mining,Other passenger land transport,1136.996941
Copper mining,Freight transport by road,1774.617221
Copper mining,Transport via pipeline,53.00876798
Copper mining,Water transport,254.5318082
Copper mining,Air transport,2086.58615
Copper mining,Warehousing,728.8277418
Copper mining,Support activities for land transport,1251.913346
Copper mining,Other support activities for transport,899.4631123
Copper mining,Postal and courier activities,103.5443074
Copper mining,Wireless telecommunications,3753.966745
Copper mining,Wired telecommunications,1889.73264
Copper mining,Other telecommunications activities,4744.505107
Copper mining,Information services activities,9082.325009
Copper mining,Publishing activities,3053.172193
Copper mining,Banking monetary intermediation,13582.42684
Copper mining,Insurance activities,7291.707311
Copper mining,Auxiliary financial activities,5148.625751
Copper mining,Real estate activities,6401.167195
Copper mining,Housing services,0
Copper mining,Legal and accounting services,4553.860041
Copper mining,Architectural and engineering services,9554.106725
Copper mining,Other professional activities,20350.07563
Copper mining,Rental and leasing activities,3706.56736
Copper mining,Business support activities,15030.95883
Copper mining,Public administration,7478.891899
Copper mining,Public education,3217.254079
Copper mining,Private education,6892.099081
Copper mining,Public health activities,2979.561347
Copper mining,Private health activities,7443.459407
Copper mining,Activities of organizations,683.1577085
Copper mining,Artistic and entertainment activities,1846.903004
Copper mining,Other personal services,248.3725596
Iron mining,Cultivation of annual crops,5.650865416
Iron mining,Cultivation of vegetables,5.589784123
Iron mining,Cultivation of grapes,24.15796142
Iron mining,Cultivation of other fruits,78.74778258
Iron mining,Cattle bredding,1.394397563
Iron mining,Pigs breeding,0.417926311
Iron mining,Chicken breeding,0.848753037
Iron mining,Breeding of other animals,0.213358625
Iron mining,Farming services,19.31248901
Iron mining,Forestry,0.318328637
Iron mining,Aquaculture,38.68997975
Iron mining,Extractive fishing,100.4104878
Iron mining,Coal mining,0.56650446
Iron mining,Crude oil and gas mining,0.720105348
Iron mining,Copper mining,1397.779414
Iron mining,Iron mining,5144.591919
Iron mining,Mining of other metals,75.26613034
Iron mining,Other mining activities and mining services,100.7630248
Iron mining,Processing and preserving of meat,79.65090357
Iron mining,Processing and preserving of fishmeal and fish oil,38.88071189
Iron mining,Processing and preserving of fish,134.0857787
Iron mining,Processing and preserving of fruits and vegetables,87.81275145
Iron mining,Manufacture of vegetable and animal oils,27.98560244
Iron mining,Manufacture of dairy products,40.89979103
Iron mining,Manufacture of grain mill products,24.10890859
Iron mining,Manufacture of prepared animal feeds,16.82592433
Iron mining,Manufacture of bakery products,14.80017409
Iron mining,Manufacture of macaroni noodles and other related products,0.738394472
Iron mining,Manufacture of other food products,52.39829522
Iron mining,Distilling rectifying and blending of spirits,11.18345415
Iron mining,Manufacture of wines,175.3234327
Iron mining,Manufacture of beers,11.97500904
Iron mining,Manufacture of soft drinks,29.47741618
Iron mining,Manufacture of tobacco products,5.520649203
Iron mining,Manufacture of textile products,28.79326311
Iron mining,Manufacture of wearing apparel,40.37500617
Iron mining,Manufacture of leather products,3.293075637
Iron mining,Manufacture of footwear,4.893433301
Iron mining,Sawmilling and planing of wood,179.5099333
Iron mining,Manufacture of wood products,103.5509781
Iron mining,Manufacture of pulp and paper,200.8074014
Iron mining,Manufacture of containers of paper,34.64030917
Iron mining,Manufacture of other paper products,29.14665691
Iron mining,Printing,13.947645
Iron mining,Manufacture of refined petroleum products,41.42614439
Iron mining,Manufacture of basic chemicals,711.9655061
Iron mining,Manufacture of paints,6.069894919
Iron mining,Manufacture of pharmaceutical products,102.2900903
Iron mining,Manufacture of soap detergents and toilet products,48.31432083
Iron mining,Manufacture of other chemical products,40.51935292
Iron mining,Manufacture of rubber products,17.72903505
Iron mining,Manufacture of plastic products,50.52871529
Iron mining,Manufacture of glass and glass products,41.05208847
Iron mining,Manufacture of cement,213.060441
Iron mining,Manufacture of concrete and concrete products,462.2054158
Iron mining,Manufacture of basic iron and steel,62655.19365
Iron mining,Manufacture of other basic metals,19.04437826
Iron mining,Manufacture of fabricated metal products,81.9294706
Iron mining,Manufacture of industrial and domestic machinery and equipment,44.66501102
Iron mining,Manufacture of electric and electronic machinery and equipment,20.81066049
Iron mining,Manufacture of transport equipment,10.51219435
Iron mining,Manufacture of furniture,31.83892346
Iron mining,Repair and installation of machinery and other manufacturing,9.287015343
Iron mining,Electric power generation,63.58555973
Iron mining,Transmission of electric power,0.588485067
Iron mining,Distribution of electric power,3.318069463
Iron mining,Gas and steam manufacture and supply,31.69057492
Iron mining,Water collection treatment and supply,7.370234701
Iron mining,Waste collection and recycling activities,2.582921792
Iron mining,Construction of residential buildings,29.61355725
Iron mining,Construction of non-residential buildings,25.77309532
Iron mining,Civil engineering,255.0141731
Iron mining,Specialized construction activities,80.96372073
Iron mining,Wholesale and retail trade of motor vehicles,325.9746698
Iron mining,Wholesale trade,2117.80511
Iron mining,Retail trade,668.0513032
Iron mining,Accommodation,4.033598765
Iron mining,Food and beverage service activities,7.16404496
Iron mining,Transport via railways,101.186304
Iron mining,Other passenger land transport,487.0974132
Iron mining,Freight transport by road,87.03651709
Iron mining,Transport via pipeline,0.246175893
Iron mining,Water transport,187.2220511
Iron mining,Air transport,656.5032148
Iron mining,Warehousing,17.1167946
Iron mining,Support activities for land transport,9.856019339
Iron mining,Other support activities for transport,615.9206098
Iron mining,Postal and courier activities,6.944231737
Iron mining,Wireless telecommunications,30.33393253
Iron mining,Wired telecommunications,13.50844788
Iron mining,Other telecommunications activities,16.49441517
Iron mining,Information services activities,78.82833003
Iron mining,Publishing activities,13.42439262
Iron mining,Banking monetary intermediation,79.80354599
Iron mining,Insurance activities,34.43591554
Iron mining,Auxiliary financial activities,17.30194495
Iron mining,Real estate activities,32.48960124
Iron mining,Housing services,0
Iron mining,Legal and accounting services,16.21362204
Iron mining,Architectural and engineering services,299.3110145
Iron mining,Other professional activities,108.6434137
Iron mining,Rental and leasing activities,21.64089827
Iron mining,Business support activities,91.11073695
Iron mining,Public administration,46.89277731
Iron mining,Public education,9.607951018
Iron mining,Private education,19.84594798
Iron mining,Public health activities,14.23894558
Iron mining,Private health activities,12.55362799
Iron mining,Activities of organizations,1.316842115
Iron mining,Artistic and entertainment activities,9.319904384
Iron mining,Other personal services,7.362603903
Mining of other metals,Cultivation of annual crops,176.7731875
Mining of other metals,Cultivation of vegetables,192.9299078
Mining of other metals,Cultivation of grapes,864.2981399
Mining of other metals,Cultivation of other fruits,2835.290291
Mining of other metals,Cattle bredding,16.04394497
Mining of other metals,Pigs breeding,1.22599634
Mining of other metals,Chicken breeding,6.901469375
Mining of other metals,Breeding of other animals,4.09900743
Mining of other metals,Farming services,661.3383071
Mining of other metals,Forestry,0.621035574
Mining of other metals,Aquaculture,0.010822488
Mining of other metals,Extractive fishing,0.123409272
Mining of other metals,Coal mining,0
Mining of other metals,Crude oil and gas mining,0.485872612
Mining of other metals,Copper mining,12173.37669
Mining of other metals,Iron mining,70.68092932
Mining of other metals,Mining of other metals,0.271614174
Mining of other metals,Other mining activities and mining services,63.68612817
Mining of other metals,Processing and preserving of meat,5.21418502
Mining of other metals,Processing and preserving of fishmeal and fish oil,0.281373488
Mining of other metals,Processing and preserving of fish,219.1424447
Mining of other metals,Processing and preserving of fruits and vegetables,0.247164942
Mining of other metals,Manufacture of vegetable and animal oils,0.16359113
Mining of other metals,Manufacture of dairy products,52.9919796
Mining of other metals,Manufacture of grain mill products,16.37067724
Mining of other metals,Manufacture of prepared animal feeds,23.20434426
Mining of other metals,Manufacture of bakery products,20.00458802
Mining of other metals,Manufacture of macaroni noodles and other related products,0.29485389
Mining of other metals,Manufacture of other food products,107.1836074
Mining of other metals,Distilling rectifying and blending of spirits,0.140005889
Mining of other metals,Manufacture of wines,26.78718942
Mining of other metals,Manufacture of beers,5.217743434
Mining of other metals,Manufacture of soft drinks,37.2805088
Mining of other metals,Manufacture of tobacco products,0.013888413
Mining of other metals,Manufacture of textile products,19.98410204
Mining of other metals,Manufacture of wearing apparel,23.30335927
Mining of other metals,Manufacture of leather products,0.007941965
Mining of other metals,Manufacture of footwear,0.146158974
Mining of other metals,Sawmilling and planing of wood,19.03859859
Mining of other metals,Manufacture of wood products,8.260436778
Mining of other metals,Manufacture of pulp and paper,14.69708075
Mining of other metals,Manufacture of containers of paper,2.486270601
Mining of other metals,Manufacture of other paper products,17.7392889
Mining of other metals,Printing,10.45209128
Mining of other metals,Manufacture of refined petroleum products,20.28084079
Mining of other metals,Manufacture of basic chemicals,77089.60295
Mining of other metals,Manufacture of paints,5.33301708
Mining of other metals,Manufacture of pharmaceutical products,61.90558104
Mining of other metals,Manufacture of soap detergents and toilet products,74.32443027
Mining of other metals,Manufacture of other chemical products,129.3824251
Mining of other metals,Manufacture of rubber products,0.771327596
Mining of other metals,Manufacture of plastic products,5.1554982
Mining of other metals,Manufacture of glass and glass products,366.1558887
Mining of other metals,Manufacture of cement,7502.171625
Mining of other metals,Manufacture of concrete and concrete products,15520.84845
Mining of other metals,Manufacture of basic iron and steel,324.5959745
Mining of other metals,Manufacture of other basic metals,19.98737336
Mining of other metals,Manufacture of fabricated metal products,265.0897889
Mining of other metals,Manufacture of industrial and domestic machinery and equipment,526.4228275
Mining of other metals,Manufacture of electric and electronic machinery and equipment,28.47096678
Mining of other metals,Manufacture of transport equipment,5.706249808
Mining of other metals,Manufacture of furniture,30.28168018
Mining of other metals,Repair and installation of machinery and other manufacturing,44.47739695
Mining of other metals,Electric power generation,372.7609346
Mining of other metals,Transmission of electric power,0.786889554
Mining of other metals,Distribution of electric power,14.72107045
Mining of other metals,Gas and steam manufacture and supply,2.033548592
Mining of other metals,Water collection treatment and supply,3.287845994
Mining of other metals,Waste collection and recycling activities,4.936238952
Mining of other metals,Construction of residential buildings,16.65803788
Mining of other metals,Construction of non-residential buildings,474.1874725
Mining of other metals,Civil engineering,4832.61703
Mining of other metals,Specialized construction activities,934.5519027
Mining of other metals,Wholesale and retail trade of motor vehicles,16.22655395
Mining of other metals,Wholesale trade,139.7112322
Mining of other metals,Retail trade,122.2448857
Mining of other metals,Accommodation,2.459782464
Mining of other metals,Food and beverage service activities,11.26880363
Mining of other metals,Transport via railways,1.585398247
Mining of other metals,Other passenger land transport,2.4783959
Mining of other metals,Freight transport by road,6.529126087
Mining of other metals,Transport via pipeline,0.208117686
Mining of other metals,Water transport,2.0668502
Mining of other metals,Air transport,40.2773961
Mining of other metals,Warehousing,0.402372409
Mining of other metals,Support activities for land transport,5.80228603
Mining of other metals,Other support activities for transport,28.63676452
Mining of other metals,Postal and courier activities,0
Mining of other metals,Wireless telecommunications,19.35299326
Mining of other metals,Wired telecommunications,62.47936559
Mining of other metals,Other telecommunications activities,10.70369049
Mining of other metals,Information services activities,314.8436071
Mining of other metals,Publishing activities,9.361353033
Mining of other metals,Banking monetary intermediation,259.4104542
Mining of other metals,Insurance activities,55.84559803
Mining of other metals,Auxiliary financial activities,51.62275868
Mining of other metals,Real estate activities,8.313151698
Mining of other metals,Housing services,0
Mining of other metals,Legal and accounting services,11.47896259
Mining of other metals,Architectural and engineering services,55.99013493
Mining of other metals,Other professional activities,169.5087586
Mining of other metals,Rental and leasing activities,18.84791134
Mining of other metals,Business support activities,98.09888166
Mining of other metals,Public administration,159.3828632
Mining of other metals,Public education,2.321709306
Mining of other metals,Private education,8.21349786
Mining of other metals,Public health activities,42.69212443
Mining of other metals,Private health activities,4.99620238
Mining of other metals,Activities of organizations,1.648558334
Mining of other metals,Artistic and entertainment activities,15.84176493
Mining of other metals,Other personal services,3.118328773
Other mining activities and mining services,Cultivation of annual crops,2074.357811
Other mining activities and mining services,Cultivation of vegetables,2153.535168
Other mining activities and mining services,Cultivation of grapes,9289.065215
Other mining activities and mining services,Cultivation of other fruits,29689.23945
Other mining activities and mining services,Cattle bredding,192.5558483
Other mining activities and mining services,Pigs breeding,12.39277448
Other mining activities and mining services,Chicken breeding,72.20882364
Other mining activities and mining services,Breeding of other animals,45.27422316
Other mining activities and mining services,Farming services,6872.075352
Other mining activities and mining services,Forestry,25.78269644
Other mining activities and mining services,Aquaculture,163.6707932
Other mining activities and mining services,Extractive fishing,3.156814145
Other mining activities and mining services,Coal mining,1.129737577
Other mining activities and mining services,Crude oil and gas mining,6.984596676
Other mining activities and mining services,Copper mining,4979.299171
Other mining activities and mining services,Iron mining,734.0917354
Other mining activities and mining services,Mining of other metals,92.17830655
Other mining activities and mining services,Other mining activities and mining services,707.7055824
Other mining activities and mining services,Processing and preserving of meat,122.0322256
Other mining activities and mining services,Processing and preserving of fishmeal and fish oil,3.311429092
Other mining activities and mining services,Processing and preserving of fish,2272.372142
Other mining activities and mining services,Processing and preserving of fruits and vegetables,90.90866007
Other mining activities and mining services,Manufacture of vegetable and animal oils,1.85350514
Other mining activities and mining services,Manufacture of dairy products,260.7211333
Other mining activities and mining services,Manufacture of grain mill products,64.00228334
Other mining activities and mining services,Manufacture of prepared animal feeds,297.2641537
Other mining activities and mining services,Manufacture of bakery products,41.02410334
Other mining activities and mining services,Manufacture of macaroni noodles and other related products,0.345536419
Other mining activities and mining services,Manufacture of other food products,976.0400136
Other mining activities and mining services,Distilling rectifying and blending of spirits,1.708744473
Other mining activities and mining services,Manufacture of wines,31.46750243
Other mining activities and mining services,Manufacture of beers,9.105917856
Other mining activities and mining services,Manufacture of soft drinks,60.32034582
Other mining activities and mining services,Manufacture of tobacco products,1.542639252
Other mining activities and mining services,Manufacture of textile products,241.0806545
Other mining activities and mining services,Manufacture of wearing apparel,19.38699454
Other mining activities and mining services,Manufacture of leather products,46.10030427
Other mining activities and mining services,Manufacture of footwear,29.84419909
Other mining activities and mining services,Sawmilling and planing of wood,20.62085461
Other mining activities and mining services,Manufacture of wood products,341.0595326
Other mining activities and mining services,Manufacture of pulp and paper,636.9101961
Other mining activities and mining services,Manufacture of containers of paper,190.3778458
Other mining activities and mining services,Manufacture of other paper products,43.19402342
Other mining activities and mining services,Printing,14.74522435
Other mining activities and mining services,Manufacture of refined petroleum products,19.80085757
Other mining activities and mining services,Manufacture of basic chemicals,220841.0757
Other mining activities and mining services,Manufacture of paints,50.25476217
Other mining activities and mining services,Manufacture of pharmaceutical products,414.9332305
Other mining activities and mining services,Manufacture of soap detergents and toilet products,622.6962537
Other mining activities and mining services,Manufacture of other chemical products,2055.86507
Other mining activities and mining services,Manufacture of rubber products,146.2264951
Other mining activities and mining services,Manufacture of plastic products,898.0320094
Other mining activities and mining services,Manufacture of glass and glass products,3818.644946
Other mining activities and mining services,Manufacture of cement,77863.22283
Other mining activities and mining services,Manufacture of concrete and concrete products,161061.6135
Other mining activities and mining services,Manufacture of basic iron and steel,3365.790829
Other mining activities and mining services,Manufacture of other basic metals,165.3154314
Other mining activities and mining services,Manufacture of fabricated metal products,2397.552887
Other mining activities and mining services,Manufacture of industrial and domestic machinery and equipment,2998.606155
Other mining activities and mining services,Manufacture of electric and electronic machinery and equipment,219.8061168
Other mining activities and mining services,Manufacture of transport equipment,6.955897884
Other mining activities and mining services,Manufacture of furniture,24.35186249
Other mining activities and mining services,Repair and installation of machinery and other manufacturing,455.9662506
Other mining activities and mining services,Electric power generation,3854.351901
Other mining activities and mining services,Transmission of electric power,0.587089902
Other mining activities and mining services,Distribution of electric power,9.627331787
Other mining activities and mining services,Gas and steam manufacture and supply,12.2019375
Other mining activities and mining services,Water collection treatment and supply,89.31873475
Other mining activities and mining services,Waste collection and recycling activities,18.87890447
Other mining activities and mining services,Construction of residential buildings,198.980523
Other mining activities and mining services,Construction of non-residential buildings,4918.704521
Other mining activities and mining services,Civil engineering,50130.94321
Other mining activities and mining services,Specialized construction activities,9693.756146
Other mining activities and mining services,Wholesale and retail trade of motor vehicles,21.56757011
Other mining activities and mining services,Wholesale trade,188.0006902
Other mining activities and mining services,Retail trade,238.6714903
Other mining activities and mining services,Accommodation,5.492420183
Other mining activities and mining services,Food and beverage service activities,15.77061751
Other mining activities and mining services,Transport via railways,1.623071784
Other mining activities and mining services,Other passenger land transport,3.431391629
Other mining activities and mining services,Freight transport by road,16.65515636
Other mining activities and mining services,Transport via pipeline,0.156794191
Other mining activities and mining services,Water transport,1.622809665
Other mining activities and mining services,Air transport,30.46342792
Other mining activities and mining services,Warehousing,2.979900381
Other mining activities and mining services,Support activities for land transport,6.721154274
Other mining activities and mining services,Other support activities for transport,19.67240195
Other mining activities and mining services,Postal and courier activities,0.293644541
Other mining activities and mining services,Wireless telecommunications,23.63192214
Other mining activities and mining services,Wired telecommunications,41.32842285
Other mining activities and mining services,Other telecommunications activities,16.18560983
Other mining activities and mining services,Information services activities,209.5412004
Other mining activities and mining services,Publishing activities,13.85080481
Other mining activities and mining services,Banking monetary intermediation,187.5871864
Other mining activities and mining services,Insurance activities,50.26276768
Other mining activities and mining services,Auxiliary financial activities,103.0477231
Other mining activities and mining services,Real estate activities,25.88511052
Other mining activities and mining services,Housing services,0
Other mining activities and mining services,Legal and accounting services,18.99821403
Other mining activities and mining services,Architectural and engineering services,61.29610355
Other mining activities and mining services,Other professional activities,152.5622043
Other mining activities and mining services,Rental and leasing activities,19.59145191
Other mining activities and mining services,Business support activities,97.86991659
Other mining activities and mining services,Public administration,368.669464
Other mining activities and mining services,Public education,17.61246806
Other mining activities and mining services,Private education,47.51637629
Other mining activities and mining services,Public health activities,45.40967959
Other mining activities and mining services,Private health activities,130.5378889
Other mining activities and mining services,Activities of organizations,21.97663612
Other mining activities and mining services,Artistic and entertainment activities,15.74368067
Other mining activities and mining services,Other personal services,3.182812917
Processing and preserving of meat,Cultivation of annual crops,316.3624502
Processing and preserving of meat,Cultivation of vegetables,76.97217226
Processing and preserving of meat,Cultivation of grapes,159.9695221
Processing and preserving of meat,Cultivation of other fruits,391.1799306
Processing and preserving of meat,Cattle bredding,256.8824957
Processing and preserving of meat,Pigs breeding,118.3007668
Processing and preserving of meat,Chicken breeding,120.5109197
Processing and preserving of meat,Breeding of other animals,29.52584408
Processing and preserving of meat,Farming services,201.0080016
Processing and preserving of meat,Forestry,73.08050464
Processing and preserving of meat,Aquaculture,125.012932
Processing and preserving of meat,Extractive fishing,2242.244281
Processing and preserving of meat,Coal mining,8.411756814
Processing and preserving of meat,Crude oil and gas mining,3.27541582
Processing and preserving of meat,Copper mining,1861.702626
Processing and preserving of meat,Iron mining,26.37224612
Processing and preserving of meat,Mining of other metals,48.4322884
Processing and preserving of meat,Other mining activities and mining services,39.49968058
Processing and preserving of meat,Processing and preserving of meat,169723.7361
Processing and preserving of meat,Processing and preserving of fishmeal and fish oil,45.75964363
Processing and preserving of meat,Processing and preserving of fish,539.8947894
Processing and preserving of meat,Processing and preserving of fruits and vegetables,338.1390255
Processing and preserving of meat,Manufacture of vegetable and animal oils,448.539208
Processing and preserving of meat,Manufacture of dairy products,498.7117875
Processing and preserving of meat,Manufacture of grain mill products,280.1298381
Processing and preserving of meat,Manufacture of prepared animal feeds,42542.25285
Processing and preserving of meat,Manufacture of bakery products,752.5900114
Processing and preserving of meat,Manufacture of macaroni noodles and other related products,370.7223348
Processing and preserving of meat,Manufacture of other food products,6468.716973
Processing and preserving of meat,Distilling rectifying and blending of spirits,111.8210274
Processing and preserving of meat,Manufacture of wines,792.0052369
Processing and preserving of meat,Manufacture of beers,371.7581346
Processing and preserving of meat,Manufacture of soft drinks,739.0181646
Processing and preserving of meat,Manufacture of tobacco products,92.78632949
Processing and preserving of meat,Manufacture of textile products,161.6432705
Processing and preserving of meat,Manufacture of wearing apparel,2837.438101
Processing and preserving of meat,Manufacture of leather products,7249.181807
Processing and preserving of meat,Manufacture of footwear,620.5181368
Processing and preserving of meat,Sawmilling and planing of wood,460.4264871
Processing and preserving of meat,Manufacture of wood products,454.7191745
Processing and preserving of meat,Manufacture of pulp and paper,515.4734761
Processing and preserving of meat,Manufacture of containers of paper,188.270339
Processing and preserving of meat,Manufacture of other paper products,387.2734653
Processing and preserving of meat,Printing,248.8326279
Processing and preserving of meat,Manufacture of refined petroleum products,317.5468337
Processing and preserving of meat,Manufacture of basic chemicals,388.5084121
Processing and preserving of meat,Manufacture of paints,147.2573056
Processing and preserving of meat,Manufacture of pharmaceutical products,994.4852833
Processing and preserving of meat,Manufacture of soap detergents and toilet products,533.5433643
Processing and preserving of meat,Manufacture of other chemical products,272.7308759
Processing and preserving of meat,Manufacture of rubber products,29.27711197
Processing and preserving of meat,Manufacture of plastic products,448.8818586
Processing and preserving of meat,Manufacture of glass and glass products,103.241177
Processing and preserving of meat,Manufacture of cement,235.8262116
Processing and preserving of meat,Manufacture of concrete and concrete products,667.5509516
Processing and preserving of meat,Manufacture of basic iron and steel,328.1107196
Processing and preserving of meat,Manufacture of other basic metals,150.3935846
Processing and preserving of meat,Manufacture of fabricated metal products,875.2325838
Processing and preserving of meat,Manufacture of industrial and domestic machinery and equipment,527.8938453
Processing and preserving of meat,Manufacture of electric and electronic machinery and equipment,184.274322
Processing and preserving of meat,Manufacture of transport equipment,240.1570177
Processing and preserving of meat,Manufacture of furniture,328.3089439
Processing and preserving of meat,Repair and installation of machinery and other manufacturing,289.7173047
Processing and preserving of meat,Electric power generation,350.7230593
Processing and preserving of meat,Transmission of electric power,2.957115697
Processing and preserving of meat,Distribution of electric power,25.28510402
Processing and preserving of meat,Gas and steam manufacture and supply,732.9046486
Processing and preserving of meat,Water collection treatment and supply,44.92148029
Processing and preserving of meat,Waste collection and recycling activities,37.55376587
Processing and preserving of meat,Construction of residential buildings,1172.053681
Processing and preserving of meat,Construction of non-residential buildings,572.5123462
Processing and preserving of meat,Civil engineering,845.8935388
Processing and preserving of meat,Specialized construction activities,900.6165861
Processing and preserving of meat,Wholesale and retail trade of motor vehicles,980.6736807
Processing and preserving of meat,Wholesale trade,5020.835918
Processing and preserving of meat,Retail trade,43847.67281
Processing and preserving of meat,Accommodation,21338.6046
Processing and preserving of meat,Food and beverage service activities,332571.8572
Processing and preserving of meat,Transport via railways,55.31199491
Processing and preserving of meat,Other passenger land transport,293.4378672
Processing and preserving of meat,Freight transport by road,454.2987591
Processing and preserving of meat,Transport via pipeline,0.206829103
Processing and preserving of meat,Water transport,65.86745932
Processing and preserving of meat,Air transport,309.8607495
Processing and preserving of meat,Warehousing,108.439698
Processing and preserving of meat,Support activities for land transport,179.1467575
Processing and preserving of meat,Other support activities for transport,170.3057126
Processing and preserving of meat,Postal and courier activities,17.55632688
Processing and preserving of meat,Wireless telecommunications,1098.683638
Processing and preserving of meat,Wired telecommunications,303.6202607
Processing and preserving of meat,Other telecommunications activities,834.8950203
Processing and preserving of meat,Information services activities,1039.008949
Processing and preserving of meat,Publishing activities,514.9719115
Processing and preserving of meat,Banking monetary intermediation,1784.290383
Processing and preserving of meat,Insurance activities,1049.215144
Processing and preserving of meat,Auxiliary financial activities,474.9793245
Processing and preserving of meat,Real estate activities,973.2164359
Processing and preserving of meat,Housing services,0
Processing and preserving of meat,Legal and accounting services,670.2041383
Processing and preserving of meat,Architectural and engineering services,1376.477059
Processing and preserving of meat,Other professional activities,2936.488808
Processing and preserving of meat,Rental and leasing activities,522.8027044
Processing and preserving of meat,Business support activities,2440.068808
Processing and preserving of meat,Public administration,21528.19763
Processing and preserving of meat,Public education,5775.847756
Processing and preserving of meat,Private education,6549.371677
Processing and preserving of meat,Public health activities,21695.25406
Processing and preserving of meat,Private health activities,8964.259405
Processing and preserving of meat,Activities of organizations,5376.750989
Processing and preserving of meat,Artistic and entertainment activities,328.1966008
Processing and preserving of meat,Other personal services,105.2853695
